date,NDCI_mean,NDTI_mean,FAI_mean
2021-05-13,0.09114087110695347,-0.11289981006075056,0.043201803303841775
2021-08-08,0.1836501908887899,-0.3500978528146008,0.048240114840124665
2021-08-28,0.2683111134129553,-0.3685403358885082,0.043918456280173795
2021-09-25,0.18006107451303746,-0.34250365072313693,0.03800461918719639
2021-10-02,0.19646494346774016,-0.31168773320431653,0.04940743389229451
2021-10-15,0.2090550295571956,-0.4102247911423145,0.03374924796473788
2021-10-20,0.17193111082236912,-0.36193302289334645,0.023433607136383292
2021-10-30,0.1995702888785438,-0.4157648508831386,0.019328163092027464
2021-11-04,0.1840201614317743,-0.35708052964953857,0.03461811816323794
2021-11-14,0.1917714301354952,-0.40043981921626176,0.026585389095511492
2021-11-24,0.17812915612394892,-0.3905330939822967,0.02544194425528566
2021-11-24,0.18892790635757917,-0.4295529811020644,0.01167896796633106
2021-11-29,0.15546793000321968,-0.3934686655458604,0.00922151319317167
2021-12-24,0.07797236026811089,-0.30266499899478816,0.01546159539696061
2021-12-26,0.1352436984276933,-0.514067643970959,0.008707766483786497
2022-01-03,0.07061336327351223,-0.2996459099695855,0.018985749233002044
2022-01-08,0.060441194770357254,-0.3359934609949761,0.007325141136963369
2022-01-10,0.04778563147811089,-0.31426279848375427,0.012245633565500269
2022-01-20,-0.04688032742049244,-0.6190758563173788,0.018659348581641963
2022-02-02,0.0060625965080630916,-0.3452077788654215,0.01724240748134197
2022-02-04,0.014089051361730248,-0.44113824856367556,0.020341200053620334
2022-02-07,0.020266379160238775,-0.4342745360287265,0.012742087395904069
2022-02-09,0.00029524580053625726,-0.3457969901528236,0.020176796608537155
2022-02-12,0.03056771557050484,-0.2308016489674083,0.022364801538044477
2022-02-27,0.07992713109763801,-0.2758845325511149,0.02066331858617807
2022-04-05,0.12421475490200058,-0.2699829425311762,0.03229568885831897
2022-04-10,0.10881629048781315,-0.2347630089239918,0.03278464456558769
2022-04-20,0.12518586893262887,-0.2610110814192842,0.03978448757965644
2022-04-28,0.18644168345171763,-0.21443596254351746,0.06043479784671193
2022-05-03,0.11205078842736915,-0.23716215894611734,0.042098941117521306
2022-05-05,0.16835938501383366,-0.35960660488982266,0.05594619323472277
2022-05-18,0.10776774062977677,-0.24932053164359425,0.05415061627991036
2022-06-09,0.031514627298894406,-0.48528380686527095,0.055410200331308695
2022-07-02,0.08616537160338016,-0.23511163930736712,0.049139982022857465
2022-07-24,0.19358173882199994,-0.36681734511180514,0.06191330730222027
2022-08-03,0.16097122647446563,-0.2990633232199458,0.057190410421430235
2022-09-02,0.253173860814485,-0.410127721660469,0.06382757911050883
2022-09-05,0.22744470803363193,-0.356207202796306,0.04457942488834876
2022-09-12,0.22611551711958833,-0.4529355389227939,0.046199121405360505
2022-09-25,0.17242166847920254,-0.3859308823826514,0.04141818163573945
2022-09-30,0.13133585689860344,-0.38846791382712875,0.040019959723091685
2022-10-02,0.14023940305765353,-0.40756270391866106,0.04272306597676046
2022-10-15,0.14477441736689547,-0.32572226320941217,0.044708131301846754
2022-10-20,0.17117450024963896,-0.38501372927731436,0.03826565571901089
2022-11-04,0.13362520954726922,-0.2973107558518936,0.039600233636987885
2022-11-09,0.1340408323351684,-0.28281609968514215,0.042943194391402435
2022-11-11,0.12393894337277084,-0.2730384225717313,0.040025370660697994
2022-11-16,0.15225548977865738,-0.32517070178230156,0.03453710919751544
2022-12-06,0.11674594039292938,-0.3595295961428361,0.02584005711999578
2022-12-09,0.09263782641766333,-0.28362743427562115,0.026732215510631693
2022-12-16,0.048360212023021064,-0.21751778406896707,0.021772594193221893
2022-12-24,0.10119342341613326,-0.3878700764710112,0.018338512471674943
2022-12-26,0.040642575861465365,-0.27180006509480714,0.026236120894731964
2022-12-31,0.07803140871360044,-0.21170241959025943,0.027188159060225293
2023-01-05,0.06437482596547185,-0.29723515181419974,0.02241327462027809
2023-01-08,0.06276404573292668,-0.28701872974098674,0.024681809275914367
2023-02-12,0.08866829474553486,-0.19465450513050117,0.02761022865830432
2023-02-17,0.07570338582560893,-0.21689123745094133,0.027247839104585093
2023-02-22,0.07026502723130543,-0.305050676329603,0.020103501623537776
2023-02-27,0.07130635933960847,-0.3550276258817868,0.021696394553561232
2023-03-01,0.08861377840363772,-0.27831410461019374,0.02164700306648488
2023-03-06,0.08557133112651191,-0.28822543620763597,0.026979197958023966
2023-03-11,0.11558842758926688,-0.20531400364058483,0.03458400311781898
2023-03-14,0.12147231457614481,-0.26526486889220274,0.02495774394275627
2023-03-19,0.1377186667558049,-0.25360570357155665,0.026922909229979725
2023-03-29,0.15639417153046997,-0.29321939382704626,0.024679609772157315
2023-04-03,0.12598175158792094,-0.30616591381856917,0.02454158908211213
2023-04-10,0.05985846974109623,-0.32448839193997275,0.03394625158311687
2023-04-13,0.06514749355068246,-0.2423204762290552,0.038968556710302235
2023-04-23,0.13302547905165318,-0.21119322087465495,0.05177035233115171
2023-05-03,0.1306285959974573,-0.18988209329717753,0.05768893646053815
2023-05-10,0.14249442365020823,-0.20279396667009222,0.07325932351728374
2023-05-15,0.10130960648261281,-0.3090668076772217,0.0728924004410162
2023-06-04,0.14739889945867957,-0.34106973420944364,0.06616059496891485
2023-06-17,0.12806933782065236,-0.20459024565258363,0.05662935974347054
2023-07-04,0.16257362018477753,-0.3307602862275213,0.06210382953180329
2023-07-22,0.10948372580666531,-0.2604298931047453,0.04479092430834223
2023-07-27,0.13016464751747944,-0.2494269412447905,0.04709958149851818
2023-08-01,0.15979254233702608,-0.251236975495783,0.04666038660679736
